C,estimator,kernel,learning_rate,max_depth,max_score,mean_score,min_samples_leaf,min_samples_split,min_score,n_estimators,n_neighbors,penalty,std_score
,RandomForest,,,6,0.9599483204134367,0.9420040195233993,,2,0.9112833763996555,100,,,0.021824991555870213
,RandomForest,,,6,0.9582256675279931,0.9420040195233993,,3,0.9112833763996555,100,,,0.021734156201598978
,ExtraTrees,,,10,0.9582256675279931,0.9476026414010911,1,3,0.9306632213608957,100,,,0.012106327098655206
,RandomForest,,,6,0.9577950043066322,0.943296009187482,,4,0.9147286821705426,100,,,0.020200915777461307
,ExtraTrees,,,10,0.9573643410852714,0.9465977605512489,1,2,0.9302325581395349,100,,,0.011762704809429526
,ExtraTrees,,,10,0.9560723514211886,0.9351134079816251,1,3,0.9099913867355728,20,,,0.019041397693908967
,RandomForest,,,6,0.9560723514211886,0.9401378122308355,,2,0.9147286821705426,60,,,0.018159490647982807
,KNN,,,,0.9556416881998278,0.9425782371518805,,,0.9207579672695951,,3,,0.01552911037498399
,RandomForest,,,6,0.9552110249784669,0.9407120298593168,,3,0.9177433247200689,60,,,0.01642678973570704
,ExtraTrees,,,10,0.9547803617571059,0.9392764857881137,1,2,0.9190353143841516,20,,,0.014972387450510926
,ExtraTrees,,,10,0.954349698535745,0.9387022681596324,2,3,0.9220499569336779,100,,,0.013205444988889032
,ExtraTrees,,,10,0.954349698535745,0.9387022681596324,2,2,0.9220499569336779,100,,,0.013205444988889032
,ExtraTrees,,,10,0.9539190353143842,0.9404249210450762,1,3,0.9190353143841516,60,,,0.015296461389575033
,RandomForest,,,6,0.9534883720930233,0.939420040195234,,4,0.9177433247200689,60,,,0.015552978887639709
,ExtraTrees,,,10,0.9530577088716624,0.9422911283376401,1,2,0.9242032730404823,60,,,0.012867152363075854
,RandomForest,,,6,0.9526270456503014,0.9378409417169107,,2,0.9099913867355728,20,,,0.01970516290611598
,RandomForest,,,6,0.9521963824289406,0.9364053976457077,,3,0.909130060292851,20,,,0.01936654832505315
,RandomForest,,,6,0.9517657192075797,0.9399942578237152,,4,0.917312661498708,20,,,0.016042164851793248
,ExtraTrees,,,10,0.9509043927648578,0.9343956359460236,2,3,0.9147286821705426,60,,,0.014936558400194734
,ExtraTrees,,,10,0.9509043927648578,0.9343956359460236,2,2,0.9147286821705426,60,,,0.014936558400194734
,KNN,,,,0.9478897502153316,0.9368360608670686,,,0.9164513350559862,,5,,0.014431323987208958
,KNN,,,,0.9448751076658053,0.9309503301751363,,,0.909130060292851,,7,,0.015624365651192375
,ExtraTrees,,,10,0.9388458225667528,0.9257823715188057,2,2,0.905254091300603,20,,,0.014694530916186242
,ExtraTrees,,,10,0.9388458225667528,0.9257823715188057,2,3,0.905254091300603,20,,,0.014694530916186242
,KNN,,,,0.9345391903531438,0.9191788687912719,,,0.8949181739879414,,9,,0.0173564342983779
,KNN,,,,0.9246339362618432,0.9089865058857306,,,0.8828596037898363,,11,,0.018594590772851534
,ExtraTrees,,,6,0.9229112833763996,0.8926213034740167,1,2,0.8544358311800172,20,,,0.028507028238130068
,ExtraTrees,,,6,0.9203273040482343,0.9006603502727534,1,2,0.8733850129198967,100,,,0.01990494577719755
,ExtraTrees,,,6,0.9203273040482343,0.8917599770312948,1,3,0.8544358311800172,20,,,0.027603537892316284
,ExtraTrees,,,6,0.9186046511627907,0.896210163652024,2,2,0.8652024117140397,20,,,0.02263612212968934
,ExtraTrees,,,6,0.9186046511627907,0.896210163652024,2,3,0.8652024117140397,20,,,0.02263612212968934
,ExtraTrees,,,6,0.9181739879414298,0.8986505885730692,1,3,0.8673557278208441,100,,,0.022353961136746148
,ExtraTrees,,,6,0.9151593453919036,0.9000861326442721,2,2,0.8729543496985357,100,,,0.019224502625317712
,ExtraTrees,,,6,0.9151593453919036,0.9000861326442721,2,3,0.8729543496985357,100,,,0.019224502625317712
,DecisionTree,,,6,0.9151593453919036,0.8884582256675279,1,2,0.8363479758828596,,,,0.036851285900570914
,DecisionTree,,,6,0.9151593453919036,0.8884582256675279,1,3,0.8363479758828596,,,,0.036851285900570914
,DecisionTree,,,6,0.9151593453919036,0.8880275624461671,2,2,0.8363479758828596,,,,0.03655820918123035
,DecisionTree,,,6,0.9151593453919036,0.8880275624461671,2,3,0.8363479758828596,,,,0.03655820918123035
,KNN,,,,0.9138673557278209,0.9031007751937984,,,0.8880275624461671,,13,,0.01097980084752969
,ExtraTrees,,,6,0.9121447028423773,0.8936261843238587,2,2,0.8617571059431525,60,,,0.022633390772559693
,ExtraTrees,,,6,0.9121447028423773,0.8936261843238587,2,3,0.8617571059431525,60,,,0.022633390772559693
,ExtraTrees,,,6,0.9121447028423773,0.8896066609244904,1,3,0.8561584840654608,60,,,0.02412312108827884
,ExtraTrees,,,6,0.9121447028423773,0.8906115417743324,1,2,0.8626184323858742,60,,,0.020728580359164032
,KNN,,,,0.9022394487510766,0.8914728682170542,,,0.875968992248062,,15,,0.011235826545707426
