estimator,min_score,mean_score,max_score,std_score,C,max_depth,min_samples_leaf,min_samples_split,n_estimators,n_neighbors,penalty
ExtraTrees,0.9612403100775194,0.9823428079242033,0.9948320413436692,0.015005384487669506,,,1,3,100,,
ExtraTrees,0.9487510766580534,0.9781797301177145,0.9948320413436692,0.02086927593766874,,,1,2,20,,
ExtraTrees,0.9577950043066322,0.9810508182601206,0.9944013781223083,0.016504387193373247,,,1,2,100,,
ExtraTrees,0.9552110249784669,0.9801894918173989,0.9944013781223083,0.017718359351840726,,,1,2,60,,
ExtraTrees,0.958656330749354,0.9811943726672409,0.9944013781223083,0.016015165396721882,,,1,3,20,,
ExtraTrees,0.9595176571920758,0.9816250358886017,0.9944013781223083,0.015695427733099725,,,1,3,60,,
RandomForest,0.9130060292850991,0.9656904966982487,0.9939707149009475,0.03728713463437158,,,,2,100,,
RandomForest,0.9164513350559862,0.9666953775480907,0.9939707149009475,0.035571380113017144,,,,3,100,,
RandomForest,0.9142980189491817,0.9656904966982486,0.9939707149009475,0.03640116322371798,,,,4,100,,
RandomForest,0.9112833763996555,0.9651162790697674,0.9939707149009475,0.038098485020838,,,,2,60,,
RandomForest,0.9181739879414298,0.9671260407694516,0.9935400516795866,0.03465047754327299,,,,3,60,,
RandomForest,0.9112833763996555,0.964398507034166,0.9931093884582257,0.037599198546393306,,,,4,60,,
RandomForest,0.9078380706287683,0.962532299741602,0.991817398794143,0.03870701751700486,,,,2,20,,
ExtraTrees,0.9728682170542635,0.9849267872523687,0.9913867355727821,0.008533944270859543,,,2,2,60,,
BaggedDecisionTree,0.8940568475452196,0.957220786678151,0.9913867355727821,0.04471345326453685,,,,,100,,
ExtraTrees,0.9728682170542635,0.9849267872523687,0.9913867355727821,0.008533944270859543,,,2,3,60,,
RandomForest,0.9117140396210164,0.9632500717772036,0.9909560723514211,0.03647581611341855,,,,3,20,,
RandomForest,0.9142980189491817,0.9641113982199253,0.9909560723514211,0.03525890289166156,,,,4,20,,
ExtraTrees,0.9720068906115418,0.9844961240310077,0.9909560723514211,0.008832971612354365,,,2,3,100,,
BaggedDecisionTree,0.8914728682170543,0.956215905828309,0.9909560723514211,0.045821073618724055,,,,,60,,
ExtraTrees,0.9720068906115418,0.9844961240310077,0.9909560723514211,0.008832971612354365,,,2,2,100,,
ExtraTrees,0.966838931955211,0.9806201550387597,0.9888027562446167,0.00980172840373906,,,2,3,20,,
BaggedDecisionTree,0.892334194659776,0.9554981337927074,0.9888027562446167,0.044685791463321786,,,,,20,,
ExtraTrees,0.966838931955211,0.9806201550387597,0.9888027562446167,0.00980172840373906,,,2,2,20,,
RandomForest,0.9409991386735572,0.9688486936548952,0.987510766580534,0.020068885578296093,,10,,4,60,,
RandomForest,0.9453057708871663,0.9714326729830606,0.9862187769164513,0.018527975115305354,,10,,3,100,,
RandomForest,0.9409991386735572,0.969279356876256,0.9862187769164513,0.020127331300606087,,10,,3,60,,
RandomForest,0.9427217915590008,0.9698535745047373,0.9857881136950905,0.019282301494210768,,10,,2,100,,
DecisionTree,0.9211886304909561,0.9592305483778353,0.9857881136950905,0.027594577643900477,,14,1,2,,,
ExtraTrees,0.9565030146425495,0.9727246626471433,0.9857881136950905,0.012162371277619962,,14,1,3,100,,
RandomForest,0.9474590869939707,0.97114556416882,0.9853574504737296,0.01686015802072127,,10,,2,60,,
DecisionTree,0.9211886304909561,0.9580821131208728,0.9853574504737296,0.027065240973412993,,14,1,3,,,
RandomForest,0.94229112833764,0.9692793568762562,0.9849267872523686,0.0191643789358496,,10,,4,100,,
ExtraTrees,0.9534883720930233,0.9717197817973012,0.9844961240310077,0.01323350522709331,,14,1,3,60,,
ExtraTrees,0.950473729543497,0.9692793568762562,0.9832041343669251,0.01380064905145517,,14,1,3,20,,
DecisionTree,0.8880275624461671,0.9509043927648579,0.9827734711455641,0.04446202360070375,,,1,2,,,
RandomForest,0.9401378122308355,0.9656904966982487,0.9814814814814815,0.018235365498938196,,10,,2,20,,
DecisionTree,0.8871662360034454,0.9490381854722941,0.9810508182601206,0.043758906071570375,,,1,3,,,
RandomForest,0.9362618432385874,0.9629629629629629,0.9810508182601206,0.019272680386837132,,10,,3,20,,
ExtraTrees,0.950473729543497,0.9699971289118575,0.9806201550387597,0.013823029706816788,,14,1,2,60,,
